timestamp,bias_x,bias_y,bias_z
5681.2,0.421,-0.548,-0.736
5681.21,0.421,-0.548,-0.736
5681.39,0.421,-0.548,-0.736
5681.57,0.421,-0.548,-0.736
5681.75,0.421,-0.548,-0.736
5681.94,0.422,-0.552,-0.735
5682.12,0.422,-0.552,-0.735
5682.3,0.422,-0.552,-0.735
5682.48,0.422,-0.552,-0.735
5682.66,0.422,-0.552,-0.735
5682.85,0.422,-0.552,-0.735
5683.3,0.425,-0.552,-0.739
5683.21,0.425,-0.552,-0.739
5683.39,0.425,-0.552,-0.739
5683.58,0.425,-0.552,-0.739
5683.76,0.425,-0.552,-0.739
5683.94,0.428,-0.549,-0.737
5684.12,0.428,-0.549,-0.737
5684.31,0.428,-0.549,-0.737
5684.49,0.428,-0.549,-0.737
5684.67,0.428,-0.549,-0.737
5684.85,0.432,-0.544,-0.738
5685.3,0.432,-0.544,-0.738
5685.22,0.432,-0.544,-0.738
5685.4,0.432,-0.544,-0.738
5685.58,0.432,-0.544,-0.738
5685.76,0.426,-0.545,-0.741
5685.95,0.426,-0.545,-0.741
5686.13,0.426,-0.545,-0.741
5686.31,0.426,-0.545,-0.741
5686.49,0.426,-0.545,-0.741
5686.68,0.426,-0.545,-0.741
5686.86,0.423,-0.549,-0.731
5687.4,0.423,-0.549,-0.731
5687.22,0.423,-0.549,-0.731
5687.4,0.423,-0.549,-0.731
5687.59,0.423,-0.549,-0.731
5689.59,0.425,-0.553,-0.738
5689.77,0.425,-0.553,-0.738
5689.96,0.425,-0.553,-0.738
5690.14,0.425,-0.553,-0.738
5690.32,0.425,-0.553,-0.738
5690.5,0.425,-0.553,-0.738
5690.69,0.426,-0.55,-0.735
5690.87,0.426,-0.55,-0.735
5691.5,0.426,-0.55,-0.735
5691.23,0.426,-0.55,-0.735
5691.42,0.426,-0.55,-0.735
5691.6,0.422,-0.551,-0.737
5691.78,0.422,-0.551,-0.737
5691.96,0.422,-0.551,-0.737
5692.14,0.422,-0.551,-0.737
5692.33,0.422,-0.551,-0.737
5692.51,0.419,-0.552,-0.737
5692.69,0.419,-0.552,-0.737
5692.87,0.419,-0.552,-0.737
5693.6,0.419,-0.552,-0.737
5693.24,0.419,-0.552,-0.737
