timestamp,altitude,azimuth,zenith,state
58087.69,3.235,179.903,2.578,STARTUP
58087.87,3.235,179.903,2.578,STARTUP
58088.6,3.235,179.903,2.578,STARTUP
58088.24,3.235,179.903,2.578,STARTUP
58088.42,3.235,179.903,2.578,STARTUP
58088.6,3.235,179.903,2.578,STARTUP
58088.79,3.235,179.903,2.578,STARTUP
58088.97,3.235,179.903,2.578,STARTUP
58089.15,3.235,179.903,2.578,STARTUP
58089.33,3.235,179.903,2.578,STARTUP
58089.52,3.235,179.903,2.578,STARTUP
58089.7,3.235,179.903,2.578,STARTUP
58089.88,3.235,179.903,2.578,STARTUP
58090.6,3.235,179.903,2.578,STARTUP
58090.24,3.235,179.903,2.578,STARTUP
58090.43,3.235,179.903,2.578,STARTUP
58090.61,3.235,179.903,2.578,STARTUP
58090.79,3.235,179.903,2.578,STARTUP
58090.97,3.235,179.903,2.578,STARTUP
58091.16,3.235,179.903,2.578,STARTUP
58091.34,3.235,179.903,2.578,STARTUP
58091.52,3.235,179.903,2.578,STARTUP
58091.7,3.235,179.903,2.578,STARTUP
58091.88,3.235,179.903,2.578,STARTUP
58092.7,3.235,179.903,2.578,STARTUP
58092.25,0.012,0.003,0.002,MONITORING
58092.43,0.004,0.0,0.018,MONITORING
58092.61,0.008,0.0,0.013,MONITORING
58092.8,0.003,0.001,0.017,MONITORING
58092.98,0.009,0.001,0.016,MONITORING
58093.16,0.008,0.0,0.014,MONITORING
58093.34,0.002,0.002,0.01,MONITORING
58093.52,0.003,0.002,0.011,MONITORING
58093.71,0.006,0.001,0.013,MONITORING
58093.89,0.007,0.001,0.013,MONITORING
58094.7,0.002,0.001,0.008,MONITORING
58094.25,0.001,0.002,0.011,MONITORING
58094.44,0.003,0.003,0.015,MONITORING
58094.62,0.004,0.003,0.013,MONITORING
58094.8,0.001,0.001,0.01,MONITORING
58094.98,0.005,0.001,0.011,MONITORING
58095.17,0.015,0.001,0.009,MONITORING
58095.35,0.015,0.0,0.008,MONITORING
58095.53,0.016,0.001,0.015,MONITORING
58095.71,0.015,0.0,0.011,MONITORING
58095.89,0.014,0.0,0.009,MONITORING
58096.8,0.016,0.0,0.014,MONITORING
58096.26,0.017,0.001,0.01,MONITORING
58096.44,0.015,0.0,0.016,MONITORING
58096.62,0.022,0.001,0.016,MONITORING
58096.81,0.029,0.001,0.017,MONITORING
58096.99,0.015,0.001,0.023,MONITORING
58097.17,0.019,0.001,0.014,MONITORING
58097.35,0.022,0.002,0.016,MONITORING
58097.53,0.004,0.003,0.02,MONITORING
58097.72,0.003,0.002,0.015,MONITORING
58097.9,0.001,0.002,0.015,MONITORING
58098.8,0.006,0.002,0.013,MONITORING
58098.26,0.002,0.002,0.016,MONITORING
58098.45,0.006,0.001,0.018,MONITORING
58098.63,0.012,0.001,0.019,MONITORING
58098.81,0.0,0.001,0.009,MONITORING
58098.99,0.013,0.001,0.022,MONITORING
58099.17,0.016,0.001,0.027,MONITORING
58100.63,0.005,0.003,0.011,MONITORING
58100.81,0.007,0.003,0.01,MONITORING
58101.0,0.009,0.003,0.011,MONITORING
58101.18,0.015,0.003,0.016,MONITORING
58101.36,0.021,0.004,0.012,MONITORING
58101.54,0.015,0.004,0.014,MONITORING
58101.73,0.022,0.003,0.018,MONITORING
58101.91,0.016,0.004,0.019,MONITORING
58102.9,0.022,0.004,0.02,MONITORING
58102.27,0.032,0.003,0.021,MONITORING
58102.46,0.035,0.003,0.017,MONITORING
58102.64,0.044,0.003,0.024,MONITORING
58102.82,0.035,0.002,0.02,MONITORING
58103.0,0.027,0.003,0.018,MONITORING
58103.18,0.022,0.002,0.019,MONITORING
58103.37,0.013,0.001,0.013,MONITORING
58103.55,0.045,0.002,0.02,MONITORING
58103.73,0.018,0.002,0.022,MONITORING
58103.91,0.037,0.001,0.01,MONITORING
58104.1,0.014,0.002,0.023,MONITORING
58104.28,0.026,0.001,0.002,MONITORING
58104.46,0.008,0.001,0.023,MONITORING
58104.64,0.013,0.001,0.003,MONITORING
58105.1,0.017,0.001,0.019,MONITORING
58105.19,0.007,0.002,0.014,MONITORING
58105.37,0.02,0.001,0.01,MONITORING
58105.55,0.016,0.001,0.008,MONITORING
58105.74,0.024,0.001,0.016,MONITORING
58105.92,0.027,0.002,0.01,MONITORING
58106.1,0.026,0.003,0.015,MONITORING
58106.28,0.014,0.001,0.014,MONITORING
58106.46,0.018,0.001,0.008,MONITORING
58106.65,0.003,0.001,0.019,MONITORING
58106.83,0.008,0.001,0.009,MONITORING
58107.1,0.003,0.001,0.015,MONITORING
58107.19,0.007,0.002,0.01,MONITORING
58107.38,0.009,0.001,0.017,MONITORING
58107.56,0.015,0.002,0.008,MONITORING
58107.74,0.015,0.001,0.015,MONITORING
58107.92,0.018,0.001,0.014,MONITORING
58108.1,0.023,0.002,0.016,MONITORING
58108.29,0.017,0.002,0.017,MONITORING
58108.47,0.017,0.001,0.013,MONITORING
58108.65,0.013,0.001,0.012,MONITORING
58108.83,0.02,0.001,0.014,MONITORING
58109.2,0.023,0.002,0.021,MONITORING
58109.2,0.046,0.001,0.005,MONITORING
58109.38,0.036,0.007,0.067,MONITORING
58109.56,0.091,0.019,0.019,MONITORING
58109.74,0.007,0.024,0.065,MONITORING
58109.93,0.074,0.032,0.009,MONITORING
58110.11,0.039,0.031,0.034,MONITORING
58110.29,0.03,0.033,0.029,MONITORING
58110.47,0.057,0.034,0.023,MONITORING
58110.66,0.039,0.033,0.022,MONITORING
58110.84,0.059,0.033,0.02,MONITORING
58111.2,0.037,0.032,0.019,MONITORING
58111.2,0.063,0.033,0.026,MONITORING
58111.39,0.067,0.032,0.024,MONITORING
58111.57,0.06,0.033,0.031,MONITORING
58111.75,0.046,0.033,0.03,MONITORING
58111.93,0.045,0.034,0.024,MONITORING
58112.11,0.048,0.032,0.024,MONITORING
58112.3,0.046,0.032,0.029,MONITORING
